"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"Trex TRB OHE AE","Deep Autoencoder for the TRB chain using the OHE transformation of sequences.","rhinno/Trex_TRB_OHE_AE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRB AF AE","Deep Autoencoder for the TRB chain using the AF transformation of sequences.","rhinno/Trex_TRB_AF_AE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRB KF AE","Deep Autoencoder for the TRB chain using the KF transformation of sequences.","rhinno/Trex_TRB_KF_AE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRB both AE","Deep Autoencoder for the TRB chain using the both transformation of sequences.","rhinno/Trex_TRB_both_AE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRA OHE AE","Deep Autoencoder for the TRA chain using the OHE transformation of sequences.","rhinno/Trex_TRA_OHE_AE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRA AF AE","Deep Autoencoder for the TRA chain using the AF transformation of sequences.","rhinno/Trex_TRA_AF_AE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRA KF AE","Deep Autoencoder for the TRA chain using the KF transformation of sequences.","rhinno/Trex_TRA_KF_AE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRA both AE","Deep Autoencoder for the TRA chain using the both transformation of sequences.","rhinno/Trex_TRA_both_AE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRB OHE VAE","Deep Variational Autoencode for the TRB chain using the OHE transformation of sequences.","rhinno/Trex_TRB_OHE_VAE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRB AF VAE","Deep Variational Autoencode for the TRB chain using the AF transformation of sequences.","rhinno/Trex_TRB_AF_VAE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRB KF VAE","Deep Variational Autoencode for the TRB chain using the KF transformation of sequences.","rhinno/Trex_TRB_KF_VAE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRB both VAE","Deep Variational Autoencode for the TRB chain using the both transformation of sequences.","rhinno/Trex_TRB_both_VAE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRA OHE VAE","Deep Variational Autoencode for the TRA chain using the OHE transformation of sequences.","rhinno/Trex_TRA_OHE_VAE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRA AF VAE","Deep Variational Autoencode for the TRA chain using the AF transformation of sequences.","rhinno/Trex_TRA_AF_VAE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRA KF VAE","Deep Variational Autoencode for the TRA chain using the KF transformation of sequences.","rhinno/Trex_TRA_KF_VAE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Trex TRA both VAE","Deep Variational Autoencode for the TRA chain using the both transformation of sequences.","rhinno/Trex_TRA_both_VAE.h5","3.19",NA,"HDF5","https://github.com/Trex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Heavy OHE AE","Deep Autoencoder for the Heavy chain using the OHE transformation of sequences.","rhinno/Ibex_Heavy_OHE_AE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Heavy AF AE","Deep Autoencoder for the Heavy chain using the AF transformation of sequences.","rhinno/Ibex_Heavy_AF_AE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Heavy KF AE","Deep Autoencoder for the Heavy chain using the KF transformation of sequences.","rhinno/Ibex_Heavy_KF_AE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Heavy both AE","Deep Autoencoder for the Heavy chain using the both transformation of sequences.","rhinno/Ibex_Heavy_both_AE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Light OHE AE","Deep Autoencoder for the Light chain using the OHE transformation of sequences.","rhinno/Ibex_Light_OHE_AE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Light AF AE","Deep Autoencoder for the Light chain using the AF transformation of sequences.","rhinno/Ibex_Light_AF_AE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Light KF AE","Deep Autoencoder for the Light chain using the KF transformation of sequences.","rhinno/Ibex_Light_KF_AE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Light both AE","Deep Autoencoder for the Light chain using the both transformation of sequences.","rhinno/Ibex_Light_both_AE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Heavy OHE VAE","Deep Variational Autoencode for the Heavy chain using the OHE transformation of sequences.","rhinno/Ibex_Heavy_OHE_VAE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Heavy AF VAE","Deep Variational Autoencode for the Heavy chain using the AF transformation of sequences.","rhinno/Ibex_Heavy_AF_VAE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Heavy KF VAE","Deep Variational Autoencode for the Heavy chain using the KF transformation of sequences.","rhinno/Ibex_Heavy_KF_VAE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Heavy both VAE","Deep Variational Autoencode for the Heavy chain using the both transformation of sequences.","rhinno/Ibex_Heavy_both_VAE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Light OHE VAE","Deep Variational Autoencode for the Light chain using the OHE transformation of sequences.","rhinno/Ibex_Light_OHE_VAE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Light AF VAE","Deep Variational Autoencode for the Light chain using the AF transformation of sequences.","rhinno/Ibex_Light_AF_VAE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Light KF VAE","Deep Variational Autoencode for the Light chain using the KF transformation of sequences.","rhinno/Ibex_Light_KF_VAE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
"Ibex Light both VAE","Deep Variational Autoencode for the Light chain using the both transformation of sequences.","rhinno/Ibex_Light_both_VAE.h5","3.19",NA,"HDF5","https://github.com/Ibex","April 1 2024","Homo sapiens","9606",NA,"Nick Borcherding","Nick Borcherding <ncborch@gmail.com>","h5","H5File"
